"","Country.Name","Country.Code","Indicator.Code","Indicator.Description","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020"
"11","China","CHN","i11","Population ages 10-14, male (% of male population)",10.43512864,11.04121216,11.69303441,12.33661064,12.82221653,12.9814419,12.72040445,12.24048383,11.64167802,11.11841012,10.83226857,10.74015375,10.84983746,11.09705588,11.398665,11.70668401,12.04590862,12.39863001,12.73350947,12.98437827,13.08532089,13.07436223,12.90550982,12.61247458,12.21574279,11.70865124,11.08221899,10.3739585,9.643482996,8.998088141,8.526653656,8.193712686,8.042429871,8.027417674,8.12214926,8.339989863,8.751164257,9.247572227,9.769923559,10.1643768,10.2648121,10.0288129,9.535476784,8.864442294,8.188782702,7.663174617,7.287568504,7.04054214,6.891020524,6.773475184,6.641086293,6.508642913,6.385024339,6.273270397,6.184111326,6.126529759,6.09716533,6.091580487,6.103473183,6.123239065,6.142917223
"12","China","CHN","i12","Wanted fertility rate (births per woman)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","China","CHN","i13","Adolescent fertility rate (births per 1,000 women ages 15-19)",68.0544,66.6162,65.178,62.4794,59.7808,57.0822,54.3836,51.685,47.3522,43.0194,38.6866,34.3538,30.021,27.4542,24.8874,22.3206,19.7538,17.187,17.4096,17.6322,17.8548,18.0774,18.3,19.9864,21.6728,23.3592,25.0456,26.732,24.5392,22.3464,20.1536,17.9608,15.768,14.9452,14.1224,13.2996,12.4768,11.654,11.073,10.492,9.911,9.33,8.749,8.4572,8.1654,7.8736,7.5818,7.29,7.3074,7.3248,7.3422,7.3596,7.377,7.4286,7.4802,7.5318,7.5834,7.635,7.643,7.651,NA
"14","China","CHN","i14","Unemployment, male (% of male labor force) (modeled ILO estimate)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.66,2.66,2.99,3.21,3.32,3.43,3.55,3.55,3.66,3.66,4.21,4.65,5.09,4.98,4.98,4.87,4.76,5.09,5.2,4.97,4.97,5.08,5.08,5.08,5.08,4.97,4.86,4.75,5.08,NA
"15","China","CHN","i15","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.43,4.49,5.14,5.61,5.9,6.2,6.51,6.61,6.9,6.96,8.06,8.93,9.79,9.58,9.59,9.39,9.2,9.87,10.14,9.8,9.91,10.28,10.45,10.61,10.74,10.61,10.45,10.26,11.01,NA
"16","China","CHN","i16","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.76,84.72,84.72,84.74,84.73,84.67,84.54,84.36,84.11,83.79,83.39,82.75,82.02,81.25,80.54,79.97,79.51,79.18,78.93,78.64,78.28,78.13,77.95,77.72,77.45,77.17,76.83,76.46,76.06,75.65,NA
"17","China","CHN","i17","Labor force participation rate for ages 15-24, total (%) (national estimate)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.84,NA,NA,NA,NA,NA,NA,NA,78.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","China","CHN","i18","Children in employment, study and work, female (% of female children in employment, ages 7-14)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","China","CHN","i19","Employment in industry (% of total employment) (modeled ILO estimate)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.39999962,21.70000076,22.39999962,22.70000076,23,23.5,23.70000076,23.5,23,22.5,22.29999924,21.39999962,21.60000038,22.5,23.79999924,25.20000076,26.79999924,27.20000076,27.79999924,28.70000076,29.5,30.29999924,30.10000038,29.89999962,29.18000031,28.79999924,28.11000061,28.31999969,27.42000008,NA
"20","China","CHN","i20","Employment to population ratio, 15+, total (%) (modeled ILO estimate)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.16,77.11,76.83,76.6,76.4,76.15,75.86,75.6,75.2,74.82,73.74,72.67,71.56,70.88,70.24,69.77,69.41,68.83,68.37,68.05,67.86,67.58,67.34,67.07,66.76,66.48,66.14,65.76,65.1,63.48
"21","China","CHN","i21","Employment to population ratio, ages 15-24, male (%) (national estimate)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","China","CHN","i22","Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.3,NA,NA,96.3,NA,NA,92.3,NA,NA,88.9,NA,NA,80.6,NA,NA,70.5,NA,NA,60.7,NA,53.5,49.2,44.4,36.4,31.5,27.2,24,NA,NA,NA,NA
"23","China","CHN","i23","Income share held by lowest 10%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,3.1,NA,NA,2.7,NA,NA,2.3,NA,NA,2.4,NA,NA,2.1,NA,2,2.1,2.1,2.5,2.5,2.6,2.7,NA,NA,NA,NA
"24","China","CHN","i24","Domestic general government health expenditure (% of GDP)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98304564,0.96720493,1.10383987,1.24286163,1.28745568,1.35689592,1.37703073,1.42784166,1.72623491,2.1349082,2.18420982,2.32375598,2.53561926,2.68708181,2.78830409,2.94208264,2.89454412,2.91935277,3.018888,NA,NA
"25","China","CHN","i25","Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","China","CHN","i26","Mortality caused by road traffic injury (per 100,000 population)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.4,21.9,22.1,21.1,20.5,20.8,20.7,20.9,20.5,20.5,20.3,20.7,20.3,19.6,18.8,18.3,18,17.8,17.6,17.4,NA
"27","China","CHN","i27","Prevalence of overweight, weight for height, male (% of children under 5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,NA,7.4,NA,NA,13.3,NA,NA,6.1,NA,3.9,NA,9.9,NA,NA,6.5,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","China","CHN","i28","Diabetes prevalence (% of population ages 20 to 79)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,9.2,NA
"29","China","CHN","i29","Prevalence of current tobacco use, females (% of female adults)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,2.3,NA,2.1,NA,2,NA,1.9,NA,1.8,NA,NA
"30","China","CHN","i30","Immunization, HepB3 (% of one-year-old children)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,65,70,75,79,84,91,92,95,99,99,99,99,99,99,99,99,99,99,99,NA
"31","China","CHN","i31","People using at least basic drinking water services (% of population)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.47577364,80.81648861,81.7952859,82.74878351,83.67586753,84.57435729,85.43458456,86.26131924,87.06001859,87.82894559,88.56889093,89.26848693,89.93455887,90.57190917,91.1813536,91.76264123,92.31599823,92.84090791,93.33588436,93.81326727,94.26111059
"32","China","CHN","i32","Probability of dying among children ages 5-9 years (per 1,000)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,4.2,3.9,3.7,3.5,3.3,3.1,2.9,2.7,2.5,2.4,2.2,2.1,2,1.9,1.8,1.7,1.6,2,1.4,1.3,1.3,1.2,1.2,1.1,1.1,1,1,1,0.9,NA
"33","China","CHN","i33","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.02,NA,NA,NA,NA,6.32,NA,NA,NA,NA,11.04,NA,NA,NA,NA,11.09,NA,NA,10.92,NA,NA
"34","China","CHN","i34","Government expenditure on education, total (% of GDP)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.388739944,1.604760051,1.650820017,1.761150002,1.708500028,1.816570044,1.749539971,1.958840013,2.14805007,1.911900043,1.948809981,2.034480095,2.076920033,1.998630047,2.008140087,2.061549902,1.804250002,1.764179945,NA,NA,NA,1.65455997,1.657850027,1.985710025,1.841920018,1.853389978,NA,1.844329953,1.888039947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.754640102,3.52196002,4.077429771,3.852509975,3.726639986,3.82487011,3.79362011,3.667449951,3.542490005,NA,NA
"35","China","CHN","i35","Pupil-teacher ratio, tertiary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79125,NA,NA,1.48814,2.25756,2.89743,3.21721,3.37327,3.35311,4.15178,4.40629,5.90136,NA,NA,NA,7.33916,8.57496,8.15753,NA,NA,NA,NA,NA,NA,8.62926,NA,NA,11.41202,11.76455,12.63359,14.07175,15.96658,17.86136,20.45389,22.47211,14.67141,17.53158,17.14973,16.73773,19.61024,19.94105,19.48791,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","China","CHN","i36","Secondary education, teachers (% female)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.45764923,24.55228996,24.83633041,25.31250954,26.15612984,26.26505089,27.74366951,28.12675095,28.41641998,28.81336021,29.38027,30.37054062,31.08633041,31.80392075,32.56901169,33.18214035,33.80054855,34.9253006,36.45386887,NA,NA,40.73460007,42.64305115,42.62136078,43.3655014,NA,NA,44.9901619,45.08337021,NA,47.43273163,48.36898041,48.97826004,49.61936951,50.28461838,51.03467941,51.90579987,52.66289902,53.62427902,54.71240997,55.70018005,56.40227127
"37","China","CHN","i37","School enrollment, secondary, male (% net)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","China","CHN","i38","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.647880077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.31599998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","China","CHN","i39","Children out of school, female (% of female primary school age)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.13819027,NA,7.557919979,NA,6.172709942,6.846859932,7.758890152,9.106940269,10.4469099,11.32021999,11.62940025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","China","CHN","i40","Persistence to last grade of primary, female (% of cohort)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.05422211,93.74169922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","China","CHN","i41","Gross intake ratio in first grade of primary education, female (% of relevant age group)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.12923,93.12264,NA,NA,NA,NA,107.83846,110.63167,NA,NA,95.59041,99.97687,101.49513,100.96838,99.81012,103.11318,NA,104.43849,102.26367,98.88078,102.60545,103.20738,103.25703,NA,NA
"42","China","CHN","i42","Trained teachers in preprimary education, male (% of male teachers)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","China","CHN","i43","Literacy rate, youth male (% of males ages 15-24)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.20854187,NA,NA,NA,NA,NA,NA,NA,96.97692871,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.19846344,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.68962097,NA,NA,NA,NA,NA,NA,NA,99.78379059,NA,NA
"44","China","CHN","i44","Coverage of social safety net programs in poorest quintile (% of population)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.03974478,NA,NA,NA,NA,NA,NA,NA
"45","China","CHN","i45","Price level ratio of PPP conversion factor (GDP) to market exchange rate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.323546454,0.304302922,0.290055374,0.259182172,0.284865857,0.327322934,0.343855332,0.344501887,0.338037057,0.329048885,0.328489134,0.328070143,0.32491013,0.327290031,0.340874601,0.346940371,0.359668127,0.39555524,0.457908875,0.46127899,0.491740715,0.545456582,0.564131604,0.591311016,0.61185172,0.621549138,0.600321656,0.619016865,0.639163187,0.609117383,0.606538637
"46","China","CHN","i46","Gross savings (current LCU)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.81636e+11,1.99594e+11,2.53993e+11,3.21003e+11,3.65761e+11,4.53306e+11,5.76539e+11,6.16351e+11,6.92525e+11,8.47242e+11,1.10425e+12,1.48783e+12,2.02802e+12,2.42477e+12,2.78343e+12,3.16805e+12,3.267e+12,3.31084e+12,3.58397e+12,4.13179e+12,4.73277e+12,5.82855e+12,7.39162e+12,8.6082e+12,1.05902e+13,1.3579e+13,1.65329e+13,1.75559e+13,2.11527e+13,2.40229e+13,2.62102e+13,2.80936e+13,3.06438e+13,3.13547e+13,3.31969e+13,3.74062e+13,4.08033e+13,4.32255e+13,NA
"47","China","CHN","i47","GNI (current US$)",59716467625,50056868958,47209359006,50706799903,59708343489,70436266147,76720285970,72881631327,70846535056,79705906247,92602973434,99800958648,1.13688e+11,1.38544e+11,1.44182e+11,1.63432e+11,1.5394e+11,1.74938e+11,1.49541e+11,1.78281e+11,1.91149e+11,1.95783e+11,2.05361e+11,2.31563e+11,2.61221e+11,3.10328e+11,3.00735e+11,2.72794e+11,3.1223e+11,3.47943e+11,3.61823e+11,3.84152e+11,4.2713e+11,4.43809e+11,5.63289e+11,7.22773e+11,8.5131e+11,9.506e+11,1.0124e+12,1.07953e+12,1.19668e+12,1.32022e+12,1.4556e+12,1.65007e+12,1.95022e+12,2.26986e+12,2.74699e+12,3.55838e+12,4.62287e+12,5.09317e+12,6.06109e+12,7.48112e+12,8.51241e+12,9.49258e+12,1.0489e+13,1.10198e+13,1.11883e+13,1.23007e+13,1.38199e+13,1.42461e+13,1.46237e+13
"48","China","CHN","i48","GDP, PPP (constant 2017 international $)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.61639e+12,1.76611e+12,2.01733e+12,2.29741e+12,2.59692e+12,2.88138e+12,3.16729e+12,3.45985e+12,3.7313e+12,4.01718e+12,4.35825e+12,4.72154e+12,5.15279e+12,5.67002e+12,6.24347e+12,6.95489e+12,7.83961e+12,8.95526e+12,9.8195e+12,1.07424e+13,1.1885e+13,1.30201e+13,1.40439e+13,1.51346e+13,1.62585e+13,1.74033e+13,1.85952e+13,1.9887e+13,2.12294e+13,2.24925e+13,2.30098e+13
